Estructura,TipoProducto,TipoBolsa,TipoSellado,GrupoFormato,Impreso,Calibre,Valvula,GradoTroquel,UsoZipper,PorcentajeCumplimiento
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,1.034
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,1.083
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.069
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.058
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,1.07
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 4,Si,mayor 100,No valvula,no troquel,no zipper,1.097
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.078
BOPP MATE/FOIL/PEBD,BOLSA,FLOW PACK,VENTRAL LATERAL,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.01
BOPP MATE/BOPP METALIZADO/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,0.961
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.019
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.987
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.045
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,SELLADO COMPLETAMENTE,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.934
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.035
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado alto,no zipper,0.96
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,zipper,1.017
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,No valvula,Grado alto,zipper,1.006
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.948
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.954
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.922
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,NO,menor igual 100,No valvula,no troquel,no zipper,1.106
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.02
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.026
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.035
PET/FOIL/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.026
BOPA/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,Valvula,no troquel,no zipper,1.027
BOPA/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.886
BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.016
BOPP MATE/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.051
PET/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.021
BOPP MATE/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.039
PET/COEXT. HBA (PE-EVOH) ABRE FACIL,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,0.959
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,mayor 70,No valvula,no troquel,no zipper,1.01
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,1.114
PET/BOPP METALIZADO/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.069
BOPA/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.862
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,0.879
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.013
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.099
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.025
PET/FOIL/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,No valvula,Grado alto,zipper,0.98
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.048
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.037
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.047
PET/FOIL/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado alto,no zipper,1.012
PET/FOIL/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,0.972
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.834
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.911
PET/FOIL/FLEXIBLE (PA-PE),BOLSA,PLANA,FLEX UP,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,1.034
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.088
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.033
PAPEL/BOPP TERMOSELLABLE,ROLLO,0,0,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.123
PAPEL/BOPP TERMOSELLABLE,ROLLO,0,0,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.122
PET/BOPP METALIZADO,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.114
BOPA/FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,mayor 100,No valvula,no troquel,no zipper,0.986
BOPA/BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,mayor 100,No valvula,no troquel,no zipper,0.982
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,mayor 70,No valvula,Grado bajo,no zipper,0.862
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 70,No valvula,no troquel,no zipper,1.065
PEBD,BOLSA,FLEX UP,HILO+FFA,Grupo 1,Si,menor igual 100,No valvula,Grado alto,no zipper,0.913
PEBD,BOLSA,FLEX UP,HILO+FFA,Grupo 2,Si,menor igual 100,No valvula,Grado alto,no zipper,0.953
PEBD,BOLSA,FLEX UP,HILO+FFA,Grupo 2,Si,menor igual 100,No valvula,Grado alto,no zipper,1.025
PET/PET METALIZADO/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,0.947
PEADIMP/PEADTS-AB,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.97
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.968
PET/FOIL/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.966
BOPP MATE/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.056
BOPP MATE/BOPP TERMOSELLABLE,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.03
BOPA/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,mayor 100,No valvula,Grado bajo,no zipper,1.077
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.062
FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 70,No valvula,no troquel,no zipper,0.941
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.045
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.073
PET/PET METALIZADO/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,mayor 100,No valvula,no troquel,no zipper,1.006
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.976
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.033
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.998
FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 1,NO,menor igual 70,Valvula,no troquel,no zipper,1.101
PET/FOIL/PEBD,BOLSA,FLOW PACK,VENTRAL LATERAL,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.884
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,no zipper,1.026
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.045
PEBD,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.04
PEBD,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.077
PEBD,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.04
PEBD,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.098
PEBD,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.075
PEBD,ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.064
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.039
BOPP MATE/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,No valvula,Grado alto,zipper,1.021
BOPA/PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,mayor 100,Valvula,Grado bajo,no zipper,0.907
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,0.983
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.048
PET/FOIL/PEBD,ROLLO,0,0,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,0.906
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,Valvula,no troquel,no zipper,0.954
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,1.077
PEADIMP/PEADTS,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,no troquel,zipper,0.831
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.033
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.058
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.099
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.008
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,1.019
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,Grado bajo,no zipper,0.935
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.013
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,0.964
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.967
BOPP MATE/PET METALIZADO/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.078
BOPP MATE/PET METALIZADO/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.89
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.036
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,No valvula,Grado alto,zipper,0.847
BOPP MATE/FOIL/PEBD,BOLSA,FLOW PACK,VENTRAL LATERAL,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.882
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,no troquel,zipper,1.032
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.015
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,no troquel,no zipper,1.052
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,no troquel,zipper,1.075
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.898
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.023
BOPP TERMOSELLABLE/BOPP TERMOSELLABLE,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.017
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+PRESELLE+SEGURIDAD,Grupo 3,Si,menor igual 100,No valvula,Grado bajo,no zipper,1.088
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,0.975
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,menor igual 70,Valvula,no troquel,no zipper,1.039
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,mayor 70,No valvula,Grado bajo,zipper,1.094
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,no zipper,0.786
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,no zipper,0.752
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,NO,menor igual 100,No valvula,no troquel,no zipper,1.034
BOPP MATE/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.028
PET/FOIL/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,0.903
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,mayor 70,No valvula,Grado bajo,zipper,0.924
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,0.936
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 70,No valvula,no troquel,no zipper,1.02
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.014
PET/FOIL/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado alto,zipper,1.005
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,mayor 70,No valvula,no troquel,no zipper,0.881
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,menor igual 70,No valvula,no troquel,no zipper,0.912
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,NO,menor igual 100,No valvula,no troquel,no zipper,0.8
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,no zipper,1.028
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.977
PEADIMP/PEADTS,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.82
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.02
PET/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.037
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.03
PET/PET/PEBD,ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.143
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,1.05
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,0.926
BOPA/BOPA/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.961
PET/FOIL/PEBD,ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,0.979
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,0.987
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 2,Si,mayor 100,No valvula,no troquel,no zipper,1.019
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,0.999
PET/FOIL/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.048
BOPA/FLEXIBLE (PA-PE),BOLSA,PLANA,SELLADO COMPLETAMENTE,Grupo 2,Si,menor igual 100,Valvula,no troquel,no zipper,1.002
PET/PET METALIZADO/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,Grado bajo,zipper,0.966
PET/FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,menor igual 100,No valvula,no troquel,no zipper,1.03
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,mayor 100,No valvula,Grado alto,zipper,1.062
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.119
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.773
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,0.929
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,0.956
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.983
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 2,Si,mayor 100,Valvula,Grado alto,no zipper,0.999
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.009
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,1.002
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.088
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,1.061
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.105
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.122
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 3,Si,menor igual 100,No valvula,no troquel,no zipper,1.111
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,1.044
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.09
PET MATE/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,Si,menor igual 100,No valvula,Grado alto,zipper,0.953
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,No valvula,Grado alto,no zipper,1.025
PET/BOPP METALIZADO/PEBD,ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.031
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,mayor 70,No valvula,no troquel,no zipper,0.982
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 3,NO,menor igual 70,No valvula,no troquel,no zipper,1.132
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.041
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,0.972
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.067
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.011
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP CON SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,Grado bajo,zipper,0.792
PET/BOPP METALIZADO/FLEXIBLE (PA-PE),BOLSA,FLEX UP,SELLADO COMPLETAMENTE,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.045
PAPEL/PEBD,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,NO,mayor 100,No valvula,Grado bajo,no zipper,1.034
PET/FLEXIBLE PCR (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,0.984
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,no troquel,no zipper,1.014
PET/PEBD,BOLSA,FLEX UP,MULTIFLEX UP SIN SELLE DE FONDO,Grupo 2,Si,menor igual 100,No valvula,no troquel,zipper,1.142
PET/PEBD,BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,No valvula,Grado alto,zipper,1.007
PET/COEXT. HBA (PE-EVOH),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,mayor 100,Valvula,Grado alto,no zipper,1.055
PET/COEXT. HBA (PE-EVOH),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,mayor 100,No valvula,no troquel,no zipper,1.021
PET/FLEXIBLE (PA-PE),BOLSA,FLEX UP,FLEX UP,Grupo 1,Si,menor igual 100,Valvula,Grado alto,no zipper,0.968
FLEXIBLE (PA-PE),BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 2,NO,mayor 70,No valvula,no troquel,no zipper,0.988
PEADTS,BOLSA,PLANA,LATERAL+FONDO+SEGURIDAD,Grupo 1,Si,mayor 100,No valvula,Grado bajo,zipper,1.043
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.102
PET/FLEXIBLE (PA-PE),ROLLO,0,0,Grupo 3,Si,mayor 100,No valvula,no troquel,no zipper,1.083
PET/COEXT. HBA (PE-EVOH),ROLLO,0,0,Grupo 2,Si,menor igual 100,No valvula,no troquel,no zipper,1.085
