PorcentajeCumplimiento,CombinedFeature
1.046,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.029,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.026,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
0.988,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 2_Si_mayor 100_Valvula_Grado alto_no zipper
0.999,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
0.951,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 70_No valvula_no troquel_no zipper
1.001,PAPEL SEPARADOR_ROLLO_nan_nan_Grupo 1_NO_menor igual 100_nan_nan_nan
1.013,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
1.069,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
0.993,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_No valvula_no troquel_no zipper
0.982,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
0.932,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
0.828,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
0.988,PEADTS-AB_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_zipper
1.065,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.978,PET/CPP_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
0.958,BOPA/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.048,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
1.005,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.025,PET/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.083,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_Si_mayor 70_Valvula_Grado alto_no zipper
1.021,PET/FOIL/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
0.98,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
0.927,PET/FOIL/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
1.006,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 70_No valvula_no troquel_no zipper
0.878,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_Grado bajo_no zipper
0.882,PET/FOIL/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado alto_no zipper
1.01,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.011,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.016,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.079,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_menor igual 100_nan_nan_nan
1.047,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.87,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.995,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.016,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.987,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.082,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
1.035,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.025,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.069,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.977,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.773,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.04,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.937,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_mayor 70_No valvula_no troquel_no zipper
0.971,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
0.823,PET/PET METALIZADO/PEBD_BOLSA_PLANA 2 LAMINAS_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.03,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
1.0,PET/BOPP METALIZADO/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_no zipper
0.982,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.003,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
0.953,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.106,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.022,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_Grado alto_no zipper
0.917,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.937,PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_mayor 100_Valvula_no troquel_no zipper
0.967,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.098,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
0.919,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_no zipper
1.0,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.059,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.075,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_Valvula_no troquel_no zipper
0.914,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_NO_mayor 100_No valvula_no troquel_zipper
1.064,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.08,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.091,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.083,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.101,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 5_Si_menor igual 100_nan_nan_nan
1.055,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
1.031,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_Si_menor igual 70_Valvula_no troquel_no zipper
1.007,FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 2_Si_mayor 70_Valvula_no troquel_no zipper
0.872,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
0.948,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
0.954,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.843,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_Valvula_no troquel_no zipper
1.001,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
1.073,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
0.919,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.04,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.082,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.092,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.049,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.991,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.081,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.045,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.097,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.074,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.058,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.066,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.078,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.082,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.021,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.081,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_Grado bajo_no zipper
0.99,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.022,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_no zipper
1.034,PET/FOIL/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 2_Si_mayor 100_nan_nan_nan
0.838,PEADTS-AB_BOLSA_FLOW PACK_FLOW PACK 4 SELLES_Grupo 1_Si_menor igual 100_Valvula_Grado alto_no zipper
0.979,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
1.028,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.012,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
1.016,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
1.074,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
0.921,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
0.959,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.991,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.066,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.003,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_NO_menor igual 100_nan_nan_nan
1.041,PET MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
0.991,PET MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.055,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_Grado bajo_no zipper
1.051,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_zipper
0.965,PET MATE/PET METALIZADO/PEBD_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.055,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.072,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_no troquel_no zipper
1.028,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
0.933,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
0.974,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.833,PET/FOIL/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
0.934,PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_No valvula_no troquel_no zipper
0.76,PEADTS-AB_BOLSA_FLOW PACK_FLOW PACK 4 SELLES_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
0.994,PET/PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_PLANA_SELLADO COMPLETAMENTE_Grupo 1_NO_menor igual 100_Valvula_no troquel_no zipper
1.042,BOPP PLANO/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.072,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_mayor 70_No valvula_no troquel_no zipper
1.109,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_menor igual 100_nan_nan_nan
1.055,PET/PEBD_BOLSA_FLOW PACK_FLOW PACK_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.021,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_SELLADO COMPLETAMENTE_Grupo 1_Si_mayor 100_Valvula_Grado alto_no zipper
0.774,PET/COEXT. HBA (PE-EVOH) ABRE FACIL_ROLLO_nan_nan_Grupo 3_NO_menor igual 100_nan_nan_nan
1.048,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.026,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_NO_menor igual 100_nan_nan_nan
0.991,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.929,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.028,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 70_No valvula_no troquel_no zipper
1.103,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
1.019,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.97,PET/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado alto_zipper
1.047,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.038,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.057,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.07,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 4_Si_mayor 100_nan_nan_nan
1.07,PET/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.088,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_mayor 70_No valvula_no troquel_no zipper
0.96,PET/PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.062,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
0.844,PET MATE/BOPP METALIZADO/PEBD_BOLSA_FLOW PACK_VENTRAL LATERAL_Grupo 1_Si_mayor 100_No valvula_no troquel_no zipper
0.932,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
0.991,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
1.024,BOPA/FLEXIBLE (PA-PE)_ROLLO_nan_nan_Grupo 3_Si_mayor 100_nan_nan_nan
1.038,FLEXIBLE (PA-PE)/COEXT. HBA (PE-EVOH)_BOLSA_TIPO GALON_FLOW PACK_Grupo 1_NO_mayor 70_Valvula_Grado alto_no zipper
1.032,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
0.794,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
1.01,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 100_No valvula_Grado alto_zipper
1.0,PET MATE/BOPP METALIZADO/PEBD_BOLSA_FLOW PACK_VENTRAL LATERAL_Grupo 1_Si_mayor 100_No valvula_Grado alto_no zipper
0.952,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 3_NO_menor igual 70_No valvula_no troquel_no zipper
1.074,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_Valvula_Grado alto_no zipper
1.09,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_mayor 70_No valvula_no troquel_no zipper
0.989,PET/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 100_No valvula_no troquel_no zipper
1.014,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.033,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 70_No valvula_no troquel_no zipper
0.98,BOPP MATE/PET METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.903,BOPP MATE/PET METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.025,BOPP MATE/PET METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.9,BOPP MATE/PET METALIZADO/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.862,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.075,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
1.087,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_Si_menor igual 70_No valvula_no troquel_no zipper
0.874,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.044,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.901,BOPP MATE/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.033,PET/PEBD_BOLSA_FLEX UP_MULTIFLEX UP CON SELLE DE FONDO_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.056,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.037,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.027,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.062,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.018,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.997,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
1.029,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.96,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.951,PET/COEXT. HBA (PE-EVOH)_ROLLO_nan_nan_Grupo 3_Si_menor igual 100_nan_nan_nan
0.849,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.095,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
0.817,PET/FOIL/PEBD_ROLLO_nan_nan_Grupo 2_Si_menor igual 100_nan_nan_nan
1.039,BOPP MATE/PET METALIZADO/PEBD_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado bajo_zipper
1.033,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
0.998,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.024,PET/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_Valvula_no troquel_no zipper
1.015,PET/COEXT. HBA (PE-EVOH)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_NO_menor igual 100_No valvula_Grado bajo_no zipper
1.028,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 70_No valvula_no troquel_no zipper
0.991,FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 2_NO_menor igual 70_No valvula_no troquel_no zipper
1.099,PAPEL/BOPP TERMOSELLABLE_ROLLO_nan_nan_Grupo 1_Si_menor igual 100_nan_nan_nan
1.052,PET/PEBD_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_No valvula_no troquel_no zipper
0.861,PET/FLEXIBLE (PA-PE)_BOLSA_QBIFLEX_FLOW PACK 4 SELLES_Grupo 1_NO_mayor 100_Valvula_no troquel_no zipper
0.948,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
1.005,PET/COEXT. HBA (PE-EVOH)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_mayor 100_No valvula_Grado alto_zipper
1.057,PET/PET METALIZADO/FLEXIBLE (PA-PE)_BOLSA_FLEX UP_FLEX UP_Grupo 1_Si_menor igual 100_No valvula_Grado bajo_no zipper
0.978,PET/FOIL/FLEXIBLE (PA-PE)_BOLSA_PLANA_LATERAL+FONDO+SEGURIDAD_Grupo 1_Si_menor igual 100_Valvula_no troquel_no zipper
